2024-05-09T21:51:51.169023 custom scheduler stable+%2821107+QPS%29
2024-05-09T21:51:51.873860 custom scheduler stable+%2821430+QPS%29
2024-05-09T21:51:52.556860 custom scheduler stable+%2820998+QPS%29
2024-05-09T21:51:53.248799 custom scheduler stable+%2820986+QPS%29
2024-05-09T21:51:53.745577 custom scheduler unstable+%28CURR+30781+-+21250+QPS%29
2024-05-09T21:51:53.807691 custom scheduler stable+%2821210+QPS%29
2024-05-09T21:51:53.936641 custom scheduler stable+%2821295+QPS%29
2024-05-09T21:51:54.310130 custom scheduler unstable+%28CURR+34219+-+21734+QPS%29
2024-05-09T21:51:55.070943 custom scheduler stable+%2841842+QPS%29
2024-05-09T21:51:55.699256 custom scheduler stable+%2847834+QPS%29
2024-05-09T21:51:56.351316 end dedup
2024-05-09T21:51:56.351422 custom memcached Some+jobs+are+done%3A+%28high%2C+0%29%2C+%28low%2C+1%29
2024-05-09T21:51:56.398237 custom scheduler stable+%2848011+QPS%29
2024-05-09T21:51:56.539145 custom scheduler unstable+%28CURR+70136+-+47993+QPS%29
2024-05-09T21:51:56.602688 custom scheduler stable+%2848132+QPS%29
2024-05-09T21:51:56.722618 start radix [1] 1
2024-05-09T21:51:56.753388 pause radix
2024-05-09T21:51:57.109447 custom scheduler stable+%2847984+QPS%29
2024-05-09T21:51:57.800936 custom scheduler stable+%2848345+QPS%29
2024-05-09T21:51:58.495225 custom scheduler stable+%2848484+QPS%29
2024-05-09T21:51:59.187472 custom scheduler stable+%2848167+QPS%29
2024-05-09T21:51:59.876894 custom scheduler stable+%2848274+QPS%29
2024-05-09T21:52:00.568415 custom scheduler stable+%2848474+QPS%29
2024-05-09T21:52:01.259395 custom scheduler stable+%2848553+QPS%29
2024-05-09T21:52:01.948568 custom scheduler stable+%2848186+QPS%29
2024-05-09T21:52:02.648452 custom scheduler stable+%2848769+QPS%29
2024-05-09T21:52:03.346406 custom scheduler stable+%2848512+QPS%29
2024-05-09T21:52:04.036219 custom scheduler stable+%2847909+QPS%29
2024-05-09T21:52:04.354056 custom scheduler unstable+%28CURR+105651+-+50650+QPS%29
2024-05-09T21:52:05.065696 custom scheduler stable+%2880240+QPS%29
2024-05-09T21:52:05.764687 custom scheduler stable+%2881206+QPS%29
